OverallQual,GrLivArea,GarageArea,TotalBsmtSF,FullBath,MasVnrArea,Fireplaces,BsmtFinSF1,LotFrontage,WoodDeckSF,2ndFlrSF,OpenPorchSF,HalfBath,property_age,year_since_remod,ExterQual,KitchenQual,BsmtQual,HeatingQC,BsmtExposure,BsmtFinType1,GarageFinish,PavedDrive,LotShape,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_None,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,CentralAir,Neighborhood,SalePrice_log
7,1710,548,856,2,196.0,0,706,65.0,0,854,61,1,5,5,4.0,4.0,4.0,5.0,1.0,6.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3,12.247694320220994
6,1262,460,1262,2,0.0,1,978,80.0,298,0,0,0,31,31,3.0,3.0,4.0,5.0,4.0,5.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,4,12.109010932687042
7,1786,608,920,2,162.0,1,486,68.0,0,866,42,1,7,6,4.0,4.0,4.0,5.0,2.0,6.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3,12.31716669303576
7,1717,642,756,1,0.0,1,216,60.0,0,756,35,0,91,36,3.0,4.0,3.0,4.0,1.0,5.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,11.84939770159144
8,2198,836,1145,2,350.0,1,655,84.0,192,1053,84,1,8,8,4.0,4.0,4.0,5.0,3.0,6.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,5,12.429216196844383
5,1362,480,796,1,0.0,0,732,85.0,40,566,30,1,16,14,3.0,3.0,4.0,5.0,1.0,6.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,11.870599909242044
8,1694,636,1686,2,186.0,1,1369,75.0,255,0,57,0,3,2,4.0,4.0,5.0,5.0,3.0,6.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,4,12.634603026569334
7,2090,484,1107,2,240.0,2,859,80.0,235,983,204,1,36,36,3.0,3.0,4.0,5.0,2.0,5.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3,12.206072645530174
7,1774,468,952,2,0.0,2,0,51.0,90,752,0,0,77,58,3.0,3.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,11.77452020265869
5,1077,205,991,1,0.0,2,851,50.0,0,0,4,0,69,58,3.0,3.0,3.0,5.0,1.0,6.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,11.678439903447801
5,1040,384,1040,1,0.0,0,906,70.0,0,0,0,0,43,43,3.0,3.0,3.0,5.0,1.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,11.771436160121729
9,2324,736,1175,3,286.0,2,998,85.0,147,1142,21,0,1,0,5.0,5.0,5.0,5.0,1.0,6.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,5,12.751299696013497
5,912,352,912,1,0.0,0,737,71.0,140,0,0,0,46,46,3.0,3.0,3.0,3.0,1.0,5.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,11.877568578558138
7,1494,840,1494,2,306.0,1,0,91.0,160,0,33,0,1,0,4.0,4.0,4.0,5.0,3.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,3,12.540757571577291
6,1253,352,1253,1,212.0,1,733,73.0,0,0,213,1,48,48,3.0,3.0,3.0,3.0,1.0,4.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,11.964001084330445
7,854,576,832,1,0.0,0,0,51.0,48,0,112,0,78,6,3.0,3.0,3.0,5.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,11.790557201568507
